rooms,area1,district,building_type,year,price,no_first_no_last,area3_bins
2.0,44.0,Автозаводский район,кирпич,1961.0,4900000,False,1.0
2.0,32.0,Советский район,кирпич,1958.0,4000000,False,1.0
2.0,45.0,Канавинский район,кирпич,1972.0,4300000,True,1.0
1.0,30.8,Канавинский район,кирпич,1965.0,4200000,True,0.0
2.0,48.0,Московский район,панель,2016.0,7150000,True,1.0
0.8,12.7,Автозаводский район,панель,1978.0,2315000,False,0.0
1.0,27.6,дер. Анкудиновка,панель,2021.0,4330000,True,0.0
2.0,44.8,Нижегородский район,кирпич,1971.0,6500000,False,1.0
3.0,59.1,Автозаводский район,панель,1963.0,6150000,False,0.0
2.0,39.4,Сормовский район,шлакоблок,1959.0,3099000,False,0.0
3.0,83.0,Автозаводский район,кирпич,1958.0,9300000,True,1.0
2.0,32.0,Советский район,кирпич,1958.0,4199999,False,0.0
2.0,47.5,Автозаводский район,панель,2019.0,6990000,True,1.0
2.0,37.0,Автозаводский район,шлакоблок,1959.0,3750000,False,0.0
1.0,23.4,Сормовский район,шлакоблок,1951.0,2200000,False,0.0
2.0,44.0,Московский район,кирпич,1959.0,4800000,True,0.0
1.0,41.0,Советский район,панель,2017.0,6400000,True,1.0
3.0,52.0,Канавинский район,кирпич,1947.0,4200000,False,1.0
2.0,37.0,Автозаводский район,шлакоблок,1958.0,3530000,False,0.0
1.0,31.9,Автозаводский район,панель,2015.0,4700000,True,1.0
1.0,30.6,Сормовский район,панель,2018.0,4200000,True,1.0
1.0,29.2,Московский район,кирпич,1958.0,4900000,False,1.0
1.0,20.8,Московский район,кирпич,1981.0,3700000,True,0.0
1.0,34.6,Автозаводский район,кирпич,1987.0,4000000,False,1.0
2.0,42.6,Ленинский район,панель,1967.0,6000000,True,0.0
1.0,50.8,Советский район,блок+утеплитель,2023.0,9200000,True,2.0
2.0,30.5,Канавинский район,кирпич,1961.0,4600000,True,0.0
2.0,54.2,Автозаводский район,блок+утеплитель,2017.0,8500000,True,1.0
1.0,32.1,Канавинский район,панель,1986.0,4500000,False,1.0
0.8,19.0,Нижегородский район,кирпич,1971.0,3850000,True,0.0
2.0,45.8,Автозаводский район,панель,1964.0,4300000,True,1.0
2.0,43.1,Канавинский район,кирпич,1963.0,4300000,True,1.0
3.0,46.6,Советский район,кирпич,1960.0,4400000,False,1.0
1.0,36.3,Нижегородский район,блок+утеплитель,2022.0,7150000,False,2.0
2.0,42.2,Автозаводский район,блок+утеплитель,2017.0,7550000,True,1.0
2.0,51.0,Автозаводский район,панель,1975.0,5650000,True,1.0
1.0,34.8,Ленинский район,панель,1994.0,4950000,False,1.0
1.0,45.1,Сормовский район,панель,2018.0,5300000,True,1.0
1.0,47.6,Советский район,кирпич,2006.0,8500000,False,2.0
0.8,27.5,Автозаводский район,блок+утеплитель,2026.0,4675000,False,0.0
3.0,66.3,Канавинский район,панель,1985.0,8000000,True,1.0
3.0,50.7,Московский район,кирпич,1974.0,5600000,True,1.0
3.0,57.2,Сормовский район,панель,1987.0,6400000,True,1.0
1.0,31.8,Ленинский район,панель,1967.0,3990000,True,0.0
2.0,45.8,Сормовский район,кирпич,1962.0,5500000,True,0.0
0.8,25.4,Советский район,блок+утеплитель,2023.0,4799000,True,0.0
3.0,63.0,Ленинский район,панель,1983.0,7500000,True,1.0
3.0,54.8,Московский район,кирпич,1964.0,5800000,False,0.0
2.0,57.4,Канавинский район,панель,2023.0,6700000,True,1.0
0.8,29.2,Автозаводский район,блок+утеплитель,2026.0,4905600,False,0.0
2.0,61.0,Советский район,панель,2012.0,8700000,True,1.0
2.0,43.0,Автозаводский район,панель,1989.0,6000000,True,1.0
2.0,43.7,Сормовский район,панель,2018.0,5400000,True,1.0
1.0,32.0,Советский район,кирпич,1959.0,3990000,False,0.0
1.0,33.2,Нижегородский район,панель,1987.0,6300000,True,1.0
2.0,44.0,Московский район,кирпич,1986.0,4700000,True,1.0
1.0,35.4,Автозаводский район,панель,1975.0,4990000,True,1.0
2.0,49.2,Московский район,кирпич,1973.0,4950000,True,1.0
0.8,24.72,Советский район,блок+утеплитель,2025.0,5660000,True,0.0
3.0,52.6,Нижегородский район,панель,1971.0,7650000,True,1.0
1.0,20.7,Московский район,кирпич,1975.0,3400000,True,0.0
2.0,43.9,Автозаводский район,кирпич,1959.0,5250000,True,0.0
1.0,30.8,Ленинский район,кирпич,1965.0,4300000,True,0.0
2.0,48.2,Советский район,кирпич,1991.0,7500000,True,1.0
0.8,20.0,Ленинский район,кирпич,1952.0,2050000,False,0.0
2.0,45.6,Автозаводский район,кирпич,1991.0,6000000,True,1.0
3.0,62.3,Автозаводский район,панель,1987.0,5800000,True,1.0
3.0,65.1,Советский район,панель,1988.0,6950000,False,1.0
1.0,31.3,Московский район,панель,1962.0,3100000,False,0.0
2.0,38.0,Нижегородский район,панель,1980.0,6000000,True,0.0
2.0,44.0,Нижегородский район,кирпич,1974.0,5750000,False,0.0
1.0,45.2,Советский район,блок+утеплитель,2025.0,8710000,True,2.0
1.0,46.3,Нижегородский район,кирпич,2007.0,7250000,True,2.0
2.0,49.7,Сормовский район,кирпич,1993.0,5890000,True,1.0
2.0,45.1,Автозаводский район,кирпич,1972.0,4300000,False,1.0
2.0,46.6,Автозаводский район,панель,1967.0,5300000,True,1.0
1.0,41.9,Автозаводский район,блок+утеплитель,2026.0,6997300,True,0.0
3.0,70.5,Автозаводский район,панель,2010.0,8500000,False,2.0
1.0,50.49,Советский район,блок+утеплитель,2025.0,8560000,True,2.0
1.0,32.1,Автозаводский район,панель,2020.0,5300000,True,1.0
1.0,31.3,Автозаводский район,блок+утеплитель,2011.0,4700000,True,1.0
1.0,34.1,Ленинский район,блок+утеплитель,2018.0,6500000,True,1.0
1.0,36.0,Автозаводский район,кирпич,1986.0,4300000,False,1.0
1.0,33.0,Автозаводский район,панель,1963.0,4300000,True,1.0
1.0,46.6,Автозаводский район,блок+утеплитель,2026.0,7782200,True,0.0
4.0,85.5,Автозаводский район,панель,1982.0,9450000,True,1.0
1.0,40.7,Нижегородский район,блок+утеплитель,2010.0,7150000,True,1.0
2.0,42.6,Московский район,кирпич,1966.0,3750000,False,0.0
2.0,52.6,Автозаводский район,панель,1999.0,5700000,False,1.0
1.0,31.5,Советский район,панель,1966.0,4500000,False,0.0
1.0,34.5,Сормовский район,панель,1975.0,4999999,True,1.0
3.0,57.4,Автозаводский район,панель,1971.0,6600000,True,1.0
3.0,62.0,Сормовский район,панель,1968.0,6900000,True,1.0
2.0,45.4,Нижегородский район,кирпич,1972.0,7400000,False,1.0
2.0,40.0,Ленинский район,кирпич,1961.0,4600000,True,0.0
1.0,26.0,Канавинский район,кирпич,1961.0,4400000,False,1.0
3.0,48.9,Сормовский район,панель,1974.0,4950000,True,1.0
2.0,41.1,Советский район,кирпич,1975.0,7950000,True,1.0
3.0,54.5,Сормовский район,панель,1978.0,5200000,True,1.0
2.0,40.0,Сормовский район,панель,1972.0,4500000,False,1.0
2.0,47.7,Автозаводский район,панель,1971.0,4750000,True,1.0
4.0,79.0,Сормовский район,панель,1977.0,8900000,True,2.0
4.0,100.9,Сормовский район,кирпич,1995.0,8100000,False,1.0
1.0,32.0,Московский район,кирпич,1961.0,3700000,False,0.0
3.0,63.3,Сормовский район,панель,1973.0,6100000,False,1.0
2.0,43.0,Канавинский район,кирпич,1962.0,6500000,True,1.0
2.0,40.0,Автозаводский район,кирпич,1966.0,5100000,False,1.0
2.0,49.0,Сормовский район,кирпич,1985.0,4500000,True,1.0
2.0,50.9,Московский район,панель,1979.0,4350000,True,1.0
2.0,41.4,Нижегородский район,кирпич,1986.0,3600000,False,0.0
3.0,54.5,Советский район,кирпич,1965.0,6300000,True,1.0
3.0,52.0,Нижегородский район,кирпич,1959.0,6600000,False,1.0
3.0,67.8,Канавинский район,панель,1982.0,7200000,True,1.0
3.0,57.8,Канавинский район,панель,1979.0,7400000,False,1.0
1.0,20.0,Автозаводский район,кирпич,1987.0,2600000,False,0.0
2.0,47.0,Канавинский район,панель,1982.0,5800000,True,1.0
1.0,44.0,Советский район,блок+утеплитель,2022.0,6750000,True,1.0
2.0,41.4,Канавинский район,кирпич,1966.0,4000000,True,0.0
1.0,32.0,Советский район,кирпич,1958.0,4700000,False,0.0
0.8,17.4,Автозаводский район,панель,2020.0,3650000,True,0.0
2.0,31.4,Ленинский район,кирпич,1961.0,4250000,True,1.0
3.0,55.8,Автозаводский район,кирпич,1965.0,5900000,False,0.0
3.0,57.7,Советский район,панель,1976.0,8100000,False,1.0
3.0,63.5,Канавинский район,кирпич,1970.0,5300000,False,1.0
1.0,30.3,Ленинский район,панель,1968.0,4100000,False,0.0
1.0,39.71,Автозаводский район,блок+утеплитель,2024.0,7000000,True,2.0
2.0,46.0,Ленинский район,панель,1968.0,5400000,True,1.0
4.0,73.4,Московский район,кирпич,1984.0,7400000,True,1.0
2.0,42.8,Автозаводский район,панель,1990.0,6000000,True,1.0
1.0,30.7,Автозаводский район,блок+утеплитель,2011.0,4430000,True,1.0
0.8,20.5,Автозаводский район,кирпич,2019.0,3850000,True,0.0
0.8,17.2,Автозаводский район,панель,2012.0,3100000,True,0.0
2.0,34.0,Автозаводский район,шлакоблок,1957.0,2850000,False,0.0
2.0,48.0,Автозаводский район,кирпич,1964.0,3100000,False,1.0
2.0,51.12,Автозаводский район,блок+утеплитель,2024.0,8322336,True,1.0
2.0,45.0,Автозаводский район,панель,1965.0,4200000,True,1.0
1.0,32.0,Сормовский район,панель,2021.0,4700000,False,1.0
4.0,63.0,Ленинский район,кирпич,1970.0,6500000,False,1.0
3.0,55.2,Автозаводский район,шлакоблок,1949.0,4800000,False,1.0
2.0,52.3,Канавинский район,панель,1985.0,5900000,False,1.0
2.0,27.3,Автозаводский район,кирпич,1972.0,3200000,True,1.0
1.0,18.1,Автозаводский район,кирпич,1972.0,2300000,False,0.0
3.0,59.7,Нижегородский район,панель,1977.0,6500000,False,1.0
2.0,54.0,Советский район,кирпич,1960.0,7600000,False,1.0
1.0,32.7,Московский район,панель,1971.0,3300000,False,1.0
2.0,37.4,Автозаводский район,шлакоблок,1960.0,3800000,False,0.0
1.0,31.0,Советский район,кирпич,1969.0,4700000,False,1.0
1.0,20.5,Московский район,кирпич,1981.0,2850000,True,0.0
3.0,58.4,Автозаводский район,панель,1966.0,5350000,False,0.0
0.8,17.2,Автозаводский район,панель,2012.0,3100000,True,0.0
2.0,42.1,Канавинский район,кирпич,1962.0,4000000,False,1.0
2.0,52.0,Канавинский район,панель,1985.0,6200000,True,1.0
3.0,59.4,Советский район,панель,1968.0,5800000,True,1.0
1.0,30.7,Автозаводский район,кирпич,1970.0,3700000,True,1.0
1.0,31.3,Автозаводский район,кирпич,1960.0,4000000,False,0.0
2.0,49.43,Ленинский район,монолитный железобетон,2024.0,9737710,True,1.0
1.0,48.09,Ленинский район,монолитный железобетон,2024.0,9137100,True,2.0
2.0,44.3,Сормовский район,кирпич,1960.0,5399000,False,0.0
3.0,47.7,Канавинский район,дерево,1986.0,2150000,False,1.0
1.0,34.2,дер. Анкудиновка,монолитный железобетон,2026.0,4343400,True,2.0
1.0,23.8,дер. Анкудиновка,монолитный железобетон,2024.0,3950000,False,0.0
3.0,77.6,Московский район,кирпич,1958.0,7000000,False,2.0
1.0,45.3,Советский район,блок+утеплитель,2020.0,8550000,True,1.0
2.0,60.5,Нижегородский район,панель,2002.0,9000000,True,1.0
1.0,40.73,Нижегородский район,блок+утеплитель,2023.0,6999980,True,1.0
1.0,30.6,Московский район,панель,2016.0,5000000,True,1.0
3.0,61.0,Советский район,панель,1982.0,7190000,False,1.0
2.0,46.0,Автозаводский район,панель,1978.0,4870000,False,1.0
1.0,36.6,Автозаводский район,кирпич,1993.0,3430000,True,1.0
1.0,37.3,дер. Анкудиновка,монолитный железобетон,2026.0,4960900,True,2.0
1.0,38.27,Ленинский район,монолитный железобетон,2024.0,7567893,True,2.0
3.0,62.4,Московский район,панель,1988.0,6300000,False,1.0
3.0,66.5,Нижегородский район,панель,1997.0,7300000,True,1.0
2.0,48.7,дер. Анкудиновка,панель,2026.0,5746600,True,2.0
2.0,44.1,Советский район,кирпич,1962.0,5490000,True,0.0
1.0,37.8,дер. Анкудиновка,панель,2020.0,5150000,True,0.0
2.0,61.0,Советский район,монолитный железобетон,2026.0,9345627,False,3.0
2.0,27.7,Автозаводский район,кирпич,1972.0,2960000,True,0.0
3.0,64.9,Нижегородский район,панель,1991.0,7400000,False,1.0
2.0,47.5,Канавинский район,блок+утеплитель,2012.0,8250000,True,1.0
3.0,69.0,Советский район,кирпич,1952.0,9000000,False,1.0
2.0,45.5,Канавинский район,кирпич,1970.0,5200000,True,0.0
2.0,52.0,Канавинский район,панель,1984.0,6950000,True,1.0
3.0,65.4,Канавинский район,панель,1987.0,9699999,True,1.0
2.0,45.1,Нижегородский район,кирпич,1970.0,9200000,True,1.0
1.0,31.2,Ленинский район,кирпич,1962.0,4450000,True,0.0
1.0,34.2,дер. Анкудиновка,монолитный железобетон,2026.0,4275000,True,2.0
1.0,39.5,Канавинский район,кирпич,2015.0,6000000,True,1.0
1.0,34.7,Автозаводский район,кирпич,1932.0,4740000,True,1.0
3.0,58.6,Сормовский район,панель,1984.0,7400000,True,1.0
3.0,60.2,Сормовский район,кирпич,1971.0,5600000,True,0.0
1.0,30.2,Ленинский район,панель,1964.0,3850000,False,0.0
3.0,54.2,Московский район,кирпич,1960.0,5210000,True,1.0
3.0,50.0,Сормовский район,панель,1974.0,5600000,False,0.0
1.0,35.7,Нижегородский район,кирпич,1917.0,7700000,False,1.0
2.0,70.0,Советский район,блок+утеплитель,2020.0,9800000,True,2.0
4.0,59.8,Канавинский район,панель,1982.0,5200000,False,1.0
3.0,82.5,дер. Анкудиновка,панель,2024.0,9487500,True,3.0
2.0,44.1,Сормовский район,панель,1985.0,4950000,False,1.0
3.0,84.3,дер. Анкудиновка,монолитный железобетон,2024.0,8261400,True,3.0
3.0,62.6,Автозаводский район,панель,1979.0,8000000,True,1.0
4.0,58.2,Сормовский район,панель,1977.0,7500000,False,0.0
2.0,42.6,Советский район,кирпич,1966.0,4850000,False,1.0
1.0,34.8,дер. Анкудиновка,панель,2017.0,5046000,True,2.0
2.0,57.8,дер. Анкудиновка,панель,2024.0,7976400,True,1.0
2.0,46.0,Московский район,кирпич,1975.0,4599000,True,0.0
3.0,60.5,Канавинский район,кирпич,1970.0,5800000,True,1.0
3.0,56.1,Нижегородский район,кирпич,1964.0,6900000,True,0.0
1.0,37.3,дер. Анкудиновка,панель,2027.0,5408500,True,2.0
2.0,62.1,Автозаводский район,монолитный железобетон,2026.0,10013377,True,3.0
1.0,33.0,Сормовский район,панель,1972.0,3250000,True,1.0
2.0,57.4,дер. Анкудиновка,панель,2027.0,7493226,True,2.0
3.0,84.4,Московский район,шлакоблок,1950.0,6900000,True,1.0
3.0,51.8,Нижегородский район,кирпич,1976.0,5450000,True,0.0
3.0,63.3,Нижегородский район,панель,1983.0,7250000,False,1.0
1.0,41.0,Сормовский район,кирпич,2014.0,6150000,False,1.0
2.0,38.6,Автозаводский район,шлакоблок,1959.0,4200000,False,0.0
3.0,60.0,Сормовский район,панель,1984.0,7250000,True,1.0
2.0,43.1,Ленинский район,кирпич,1963.0,5200000,False,1.0
1.0,39.4,Нижегородский район,блок+утеплитель,2023.0,8900000,True,2.0
1.0,30.6,Советский район,кирпич,1967.0,6000000,True,0.0
3.0,56.3,Нижегородский район,кирпич,1986.0,8120000,False,1.0
2.0,38.2,Советский район,кирпич,1964.0,3470000,False,0.0
1.0,32.9,Сормовский район,кирпич,1982.0,3800000,True,1.0
4.0,72.0,Автозаводский район,кирпич,1975.0,7480000,True,1.0
1.0,24.7,дер. Анкудиновка,монолитный железобетон,2025.0,3952000,True,1.0
2.0,39.8,Московский район,кирпич,1972.0,4100000,False,0.0
1.0,30.0,Автозаводский район,кирпич,1984.0,4099999,True,1.0
2.0,50.2,Канавинский район,панель,1983.0,6790000,True,1.0
1.0,40.7,Нижегородский район,кирпич,2003.0,7200000,True,2.0
2.0,62.4,дер. Анкудиновка,панель,2020.0,7850000,True,2.0
1.0,47.0,Автозаводский район,монолитный железобетон,2026.0,7939005,True,3.0
1.0,37.5,Ленинский район,панель,2024.0,7200000,True,1.0
2.0,55.7,Автозаводский район,монолитный железобетон,2026.0,9159030,True,2.0
1.0,18.6,дер. Анкудиновка,панель,2017.0,3150000,False,0.0
4.0,94.0,дер. Анкудиновка,панель,2027.0,9661414,True,3.0
2.0,47.7,дер. Анкудиновка,панель,2025.0,6630014,True,2.0
3.0,82.0,дер. Анкудиновка,монолитный железобетон,2024.0,9322498,True,3.0
2.0,43.0,Канавинский район,кирпич,1967.0,4500000,False,1.0
2.0,45.5,Канавинский район,панель,1978.0,6500000,False,1.0
1.0,39.0,дер. Анкудиновка,монолитный железобетон,2026.0,4602000,True,1.0
1.0,33.3,Канавинский район,панель,1983.0,5350000,False,1.0
1.0,39.3,дер. Анкудиновка,монолитный железобетон,2024.0,4912500,False,2.0
2.0,54.0,Нижегородский район,кирпич,1977.0,9450000,True,1.0
0.8,17.2,Сормовский район,панель,2020.0,3550000,True,0.0
2.0,48.0,Сормовский район,панель,1980.0,5799000,True,1.0
1.0,21.1,дер. Анкудиновка,панель,2026.0,3861300,True,1.0
1.0,31.6,Ленинский район,панель,1966.0,3800000,False,0.0
1.0,41.98,Автозаводский район,панель,2014.0,6100000,True,1.0
2.0,48.7,дер. Анкудиновка,панель,2017.0,5795300,True,2.0
3.0,62.2,Нижегородский район,панель,1977.0,8400000,True,1.0
1.0,32.2,дер. Анкудиновка,монолитный железобетон,2026.0,4475800,True,2.0
3.0,65.6,Канавинский район,панель,1993.0,7990000,True,1.0
1.0,34.8,Московский район,кирпич,1986.0,4200000,True,1.0
3.0,62.7,Автозаводский район,панель,1980.0,7200000,True,0.0
1.0,33.0,Нижегородский район,панель,1987.0,5400000,False,1.0
1.0,36.8,Советский район,панель,2023.0,9052800,True,2.0
2.0,54.7,Сормовский район,панель,2017.0,7500000,False,1.0
2.0,31.0,Канавинский район,кирпич,1960.0,4700000,True,0.0
1.0,51.2,Канавинский район,блок+утеплитель,2007.0,8500000,True,2.0
1.0,62.0,Нижегородский район,кирпич,1986.0,3950000,False,4.0
2.0,54.6,Ленинский район,кирпич,2006.0,7300000,True,1.0
2.0,48.3,Советский район,кирпич,1982.0,9500000,True,1.0
3.0,57.3,Сормовский район,панель,1963.0,5700000,False,0.0
2.0,42.18,Ленинский район,монолитный железобетон,2024.0,8225100,True,1.0
3.0,74.9,Нижегородский район,кирпич,2003.0,9699000,True,1.0
1.0,30.3,Ленинский район,кирпич,1963.0,4200000,False,0.0
2.0,42.7,Автозаводский район,кирпич,1962.0,5100000,True,1.0
3.0,60.3,Московский район,панель,1982.0,7549999,True,1.0
2.0,45.0,Автозаводский район,панель,1976.0,5600000,False,1.0
2.0,42.5,Советский район,кирпич,1959.0,7350000,True,1.0
1.0,44.4,Советский район,панель,2026.0,9990000,True,2.0
1.0,68.7,дер. Анкудиновка,монолитный железобетон,2026.0,8037900,True,2.0
1.0,39.0,Канавинский район,кирпич,2015.0,7250000,False,1.0
3.0,96.1,Советский район,кирпич,1970.0,5990000,False,1.0
2.0,46.7,Автозаводский район,панель,2022.0,6380000,True,1.0
1.0,36.0,Советский район,панель,2026.0,8964000,False,2.0
1.0,37.5,Сормовский район,блок+утеплитель,2023.0,5790000,True,2.0
3.0,63.3,Нижегородский район,панель,1984.0,7600000,True,1.0
2.0,56.0,дер. Анкудиновка,панель,2019.0,7800000,True,2.0
1.0,36.1,Автозаводский район,кирпич,1988.0,4000000,False,1.0
1.0,60.0,дер. Анкудиновка,монолитный железобетон,2026.0,8080200,True,2.0
2.0,42.8,Автозаводский район,панель,1967.0,4650000,True,0.0
1.0,38.0,Ленинский район,кирпич,1935.0,7100000,True,2.0
0.8,25.5,Советский район,блок+утеплитель,2022.0,5100000,True,0.0
1.0,21.9,дер. Анкудиновка,монолитный железобетон,2026.0,3788897,True,1.0
2.0,66.7,Нижегородский район,блок+утеплитель,2011.0,8990000,True,2.0
3.0,51.6,Советский район,кирпич,1974.0,5980000,True,1.0
2.0,48.2,дер. Анкудиновка,блок+утеплитель,2024.0,6749976,True,2.0
1.0,27.2,Нижегородский район,панель,2025.0,6300010,True,1.0
3.0,84.3,дер. Анкудиновка,монолитный железобетон,2024.0,8345700,True,3.0
1.0,35.8,Нижегородский район,панель,1993.0,5980000,True,1.0
3.0,63.0,Ленинский район,панель,1987.0,9100000,True,1.0
3.0,62.6,Автозаводский район,кирпич,1980.0,9700000,True,1.0
2.0,67.3,Автозаводский район,кирпич,1930.0,6250000,True,2.0
3.0,61.0,Автозаводский район,панель,1981.0,5500000,False,1.0
2.0,59.2,дер. Анкудиновка,панель,2024.0,6630400,True,2.0
2.0,60.3,дер. Анкудиновка,панель,2025.0,8019900,True,2.0
3.0,56.0,Канавинский район,кирпич,1934.0,5650000,True,1.0
1.0,40.71,Советский район,панель,2026.0,9159750,True,2.0
3.0,60.0,Автозаводский район,панель,1985.0,6020000,True,1.0
1.0,30.7,Автозаводский район,блок+утеплитель,2011.0,4200000,False,1.0
1.0,32.2,Канавинский район,кирпич,1962.0,4750000,False,1.0
1.0,39.5,Автозаводский район,кирпич,1930.0,5490000,False,1.0
1.0,30.0,Автозаводский район,кирпич,1962.0,4270000,True,1.0
1.0,36.7,Автозаводский район,кирпич,1988.0,4150000,True,1.0
3.0,66.1,Ленинский район,кирпич,1980.0,7500000,False,2.0
3.0,82.5,дер. Анкудиновка,панель,2024.0,9322500,True,3.0
2.0,45.7,Московский район,панель,1978.0,5300000,True,1.0
2.0,37.9,Ленинский район,кирпич,1961.0,3849999,False,0.0
2.0,47.2,Московский район,панель,1961.0,5400000,True,0.0
2.0,54.3,дер. Анкудиновка,панель,2023.0,7167600,True,2.0
2.0,42.9,Нижегородский район,кирпич,1961.0,7550000,False,1.0
3.0,63.0,Канавинский район,панель,1970.0,7295000,False,1.0
1.0,29.9,Ленинский район,кирпич,1931.0,3090000,False,1.0
0.8,25.2,дер. Анкудиновка,монолитный железобетон,2025.0,4258800,True,0.0
1.0,29.9,Автозаводский район,шлакоблок,1948.0,2999000,False,1.0
1.0,44.5,Нижегородский район,блок+утеплитель,2008.0,7450000,True,1.0
1.0,31.5,Ленинский район,кирпич,1962.0,4500000,True,0.0
1.0,30.9,Московский район,панель,1969.0,3620000,False,0.0
2.0,54.4,Нижегородский район,панель,2005.0,9540000,True,1.0
